title, content, star, about, time, classification, author

全方位了解古埃及文化-Discovering Ancient,四大文明古国之一，你不想了解一下吗？，金字塔、法老、木乃伊相关内容一应俱全，还支持中文哦！,4.35,['https://discoveringegypt.com/'],2020-06-08,",千奇百怪,古埃及,文化",songslee

大家一起来砸墙-Smash The Walls,一个疯狂记数的网站，，目前这个数字已经达到1千多万次，如果愿意，你可以一直砸。。。,4.07,['https://smashthewalls.com/'],2020-06-03,",千奇百怪,无聊,砸墙,记数",songslee

在线流程图绘制工具-Drawio,如今流程图的应用越来越广泛，各平台工具也超多，而今天的这款有所不同，，支持中文，随时随地，想用就用！,4.36,['https://app.diagrams.net/'],2020-06-01,",在线应用,思维导图,流程图",songslee

臭鼬娘在线接头霸王-kyaru,最近很火的梗。。。，操作过程十分流畅，生成图片也很方便，试试吧！,4.89,['http://kyaru-connect.ayaya.tw/'],2020-05-27,",千奇百怪,图片生成,臭鼬娘",songslee

触屏小游戏合集-Lagged,不适合电脑访问的网站。。。它，很多经典的手游都在其中，值得一玩！,4.64,['https://lagged.com/'],2020-05-25,",轻松好玩,小游戏,触屏",songslee

纸牌游戏集锦-CardGames,可以一次玩个够了。。。，不会玩不要紧，每个游戏开始的时候都会有玩法教程，很贴心！,4.00,['https://cardgames.io/'],2020-05-20,",轻松好玩,多人联机,小游戏,纸牌",songslee

ASCII字符3D场景体验-ASCIICKER,不明觉厉的网站！，并支持多人联机，但也只是看到对方，不能交流。。。,4.67,['http://asciicker.com/'],2020-05-18,",千奇百怪,3D,ASCII,字符",songslee

超酷实时垂直弹幕-Gogoame,很酷的体验，，整体看上去相当有科技感，中英文通吃，快试一下吧！,4.62,['http://gogoame.sumbioun.com/'],2020-05-16,",轻松好玩,实时,弹幕",songslee

搞笑Git日志生成器-Commit Message Generator,相当小众的网站，，也可以说是程序员们偷懒的帮凶，不管怎样，还是很有趣的工具！,4.62,['http://whatthecommit.com/'],2020-05-11,",千奇百怪,Git,搞笑,日志",songslee

多人联机百战天虫Dos版-WebLiero,Liero这个游戏可能国内现在还记得的玩家不太多，但是在国外游戏社区里这款游戏在二十年前是一款绝佳的单挑小游戏，并被广大游戏玩家喜爱。笔者当年也玩过，而且还记得被敌人的（以及自己的）Big Nuke支配的恐惧。游戏里也提供了大量设置，从最著名的Mod到各系列参数的选项应有尽有。,4.15,['https://www.webliero.com/'],2020-05-08,",轻松好玩,Dos版,多人联机,百战天虫",Zesty

给我买杯咖啡吧-Buy Me A Coffee,在有趣网址之家看趣站的时候会不会有一种想打赏给我的冲动呢。。。今天的这个用这种方式来支持原创再好不过啦！如果可以的话，也给我买杯咖啡吧！,4.00,['https://www.buymeacoffee.com/'],2020-05-06,",千奇百怪,咖啡,打赏",songslee

拼合12数独小游戏-Twelvesmith,一些玩法简单的数字游戏有迅速爆款的潜力，比如2048、小3传奇（Threes）以及历久弥新的各种数独游戏。今天介绍的这个拼合12也是一个数字游戏。看着很容易，但玩起来就会发现有不断占据格子的玩意出现，需要在其附近合成数字来消除。如果喜欢，可以考虑购买手机版游戏来支持作者。,4.61,['http://twelvesmith.com/'],2020-05-04,",轻松好玩,小游戏,拼合12,数独",Zesty

这个网站即将自毁-This website will self destruct,一个网站，往往是以开的久而吸引访问用户，但今天的这家网站就很与众不同了。这个小实验听起来很恐怖不过一直都有很多的游客前来拜访并留言，基本最长也就1-2分钟内就会有新的消息并刷新倒计时，短时间内不用太过担心网站的安危。,4.46,['https://www.thiswebsitewillselfdestruct.com/'],2020-04-29,",千奇百怪,留言,网站,自毁",Zesty

为不喜欢电子乐的人群推荐的电子乐-Electronic music,毫无疑问，电子乐已经逐渐成为能代表这个时代乐坛的音乐曲风之一。虽然主流地位已经确立，依旧还是会有很多人并不喜欢电子乐，或者不知从哪个音乐人开始听起。即便是着实不喜欢电子乐的人，也可以欣赏欣赏网站独特的设计风格以及长度爆表的域名。,3.43,['https://www.electronicmusicforpeoplewhodontlikeelectronicmusic.com/'],2020-04-27,",千奇百怪,推荐,欣赏,电子音乐",Zesty

3D Touch网红屏幕秤-TouchScale,网上短视频经常会看到的小工具，，虽然精准度上有些差异，但临时拿来用用还是不错的！,2.64,['http://www.touchscale.co/'],2020-04-22,",千奇百怪,3D Touch,屏幕,称",songslee

多人联机红心大战-Hearts,说到红心大战，老Windows用户们不会陌生。最早追溯到Windows 3.1开始一直到Windows 7，默认安装游戏的Windows里都会有红心大战的身影，不仅有普通的红心大战也有网上的红心大战，一直到Windows 8开始得自己额外下载UWP版的游戏为止。,2.75,[],2020-04-20,",轻松好玩,多人联机,棋牌,红心大战",Zesty

为我读一篇故事-Read A Story To Me,当前的疫情危机下，虽然中国现在的情况还算可以，但其它国家的形势依旧非常严峻，并且还需要注意保持社交距离。在这样的情况下，在外地的家长们怎么给儿女念睡前小故事呢？于是便有了今天这个网站。网站可选匿名使用或注册使用，匿名用户的上传文件会在48小时之后删除。,3.75,['https://readastorytome.com/'],2020-04-15,",千奇百怪,PDF,讲故事",Zesty

在线多人协作玩音乐-Ocean,制作音乐的在线网站不稀奇，但是能够和其他人一起制作音乐，而且网站的功能还简单易上手，那就不太多了。网站上有几个别人制作好的音乐，可以由此感受网站的强大功能，以及社区的创意。,4.29,['https://www.oceanwaves.io/'],2020-04-13,",轻松好玩,制作,多人协作,音乐",Zesty

多人联机碰撞大作战-Florr.io,升级升级再升级！，利用围绕在周围的石头来攻击其他玩家并升级，虽然很简单，但还是需要一定操作的！,4.26,['https://florr.io/'],2020-04-08,",轻松好玩,多人联机,小游戏,碰撞",songslee

恐怖迷宫小游戏官网-Scary Maze Game,,3.81,['https://www.playscarymazegame.net/'],2020-04-06,",千奇百怪,吓人,恐怖,迷宫",songslee

趣味网页小程序合集-Neal.fun,体验什么是趣站的最佳网站，，每个都很精致用心，拿来放松心情，缓解压力不香吗？,4.52,['https://neal.fun/'],2020-04-01,",千奇百怪,合集,网页小程序,趣味",songslee

OBS映射手柄按键动画-Gamepad Viewer,送给各位游戏主播朋友们的小工具！，并可以轻松添加到OBS等直播推流软件当中，对提高直播趣味性很有帮助！,4.73,['http://gamepadviewer.com/'],2020-03-30,",在线应用,OBS,手柄,按键映射",songslee

股票走势跳远小游戏-Stock Jump,这回的新冠病毒毫无疑问是给全球经济带来了大规模的损失，预估在千亿甚至万亿的美元。，内含沪深股指，可以说够全了。另外还可以分享地址给好友共同跳远。,4.18,['http://stockjump.sos.gd/'],2020-03-25,",千奇百怪,小游戏,股票走势,跳远",Zesty

多人联机圈地大作战-Paper.io 2,很过瘾的小游戏，，通过对自己领地的扩张，击败侵略疆土的敌人，最后登上冠军宝座。。。,4.46,['https://paper-io.com/'],2020-03-23,",轻松好玩,圈地,多人联机,小游戏",songslee

全球视错觉权威官网-Best Illusion of the Year Contest,你的眼睛正在经受史无前例的挑战！，包括静态的图片和动态的视频，每个作品都能让你感受到从疑惑不解到恍然大悟的过程！,4.17,['http://illusionoftheyear.com/'],2020-03-18,",千奇百怪,视错觉,评选",songslee

双重躲避小游戏-Double Dodgers,,4.65,['https://doubledodgers.com/'],2020-03-16,",轻松好玩,双重躲避,小游戏",Zesty

在线畅玩经典街机游戏-Yikm,小时候的梦想终于实现啦！，你可以疯狂的投币，不用考虑兜里还有多少零花钱。。。,4.61,['https://www.yikm.net/'],2020-03-11,",轻松好玩,模拟器,红白机,街机",songslee

网页里的电脑博物馆-Dnbwg,,4.25,['http://www.dnbwg.com/'],2020-03-09,",千奇百怪,古董,模拟器,电脑",songslee

线上体验遥控小汽车-Bruno Simon,很棒的浏览体验网站，，真实的物理效果玩起来很有带入感，只是不太好控制，要适应一下！,4.55,['https://bruno-simon.com/'],2020-03-05,",轻松好玩,小汽车,遥控",songslee

一个不含字母E的英文故事-Gadsby,一个无聊的挑战项目，，全篇近5万个单词，居然没有用到一个带E的单词。。。,3.68,['http://spinelessbooks.com/gadsby/'],2020-03-01,",千奇百怪,E,字母,故事",songslee

完美在线换脸工具-Reflect,这绝不是你想象那样，简单的换脸操作，，非常实用，推荐收藏！,4.19,['https://reflect.tech/'],2020-02-27,",在线应用,图片合成,在线工具,换脸特效",songslee

osu! 中文网页版-戳泡泡,osu!作为一款社区开发的音乐节奏游戏，被玩家群众所喜爱。，省去了下载本地客户端和安装谱面的需求，可以更快的畅玩游戏。点击谱面准备玩之前，游戏会在左侧栏展示下载进度，等待完毕即可进行游戏。,4.36,['http://osugame.online/'],2020-02-24,",轻松好玩,中文,小游戏,节奏",Zesty

电子音乐零基础教学-Learning Music,用于了解电子音乐再好不过了！你可以通过，循序渐进，寓教于乐的方式让人很容易沉浸其中！,4.75,['https://learningmusic.ableton.com/zh/'],2020-02-19,",千奇百怪,教学,电子音乐",songslee

10亿现金的体积有多大？-10 Billion Dollars,很多人都有想过吧，多少多少钱推在一起的体积有多大。。。，我们可以选择观看包括人民币在内的18种货币的模拟展示！,3.61,['https://www.yanlinma.com/10-billion-dollar/'],2020-02-17,",千奇百怪,体积,冷知识,现金",songslee

崩溃的反物理超级马里奥-Jelly Mario,很难想象，任天堂居然没有告它。。。，上手难，专精更难。。。,4.23,['https://jellymar.io/'],2020-02-12,",轻松好玩,反物理,小游戏,马里奥",songslee

全球新型冠状病毒动态地图-The Coronavirus App,这是场足以载入史册的疫情灾难！此刻，武汉牵动着全世界人们的心，尽管病毒肆意施虐，但我相信我们中国人一定会战胜它！,4.52,[],2020-02-10,",公益宣传,地图,数据,新型冠状病毒",songslee

评估测试你的大脑能力-Human Benchmark,一个很有挑战性的网站，，同时支持手机访问，不过测试结果不如在电脑上的成绩好！,3.79,['https://humanbenchmark.com/'],2020-02-05,",轻松好玩,大脑,测试,能力",songslee

雪花博物馆-Snow Crystals,很涨知识的网站，，虽然我们都知道雪花是六角形的，但大多数朋友都没有真正看到过雪花的样子！,3.53,['http://www.snowcrystals.com/'],2020-02-03,",千奇百怪,照片,科普,雪花",songslee

全球说唱联播-Foreignrap,说唱乐脱胎于嘻哈乐，最近在国内慢慢火了起来，获得了不少的听众。这个网站的视频是来自于YouTube，因此正常的访问之前需要先那个。,3.86,['https://foreignrap.com/'],2020-01-22,",千奇百怪,YouTube,说唱,随机",Zesty

和朋友们一起玩神奇形色牌-Set with Friends,看到标题之后肯定会有不少站友都在嘀咕，什么是神奇形色牌？没关系我其实也是头一次听说，上手起来也很快，具体的介绍描述可以在和上找到。网站使用了质感设计的界面，，网站本身也有聊天功能，在手机上也有较好的显示效果，方便随时随地进行游戏，但前提是需要有一帮好友。,3.78,['https://setwithfriends.com/'],2020-01-20,",轻松好玩,亲子益智,神奇形色牌,逻辑思维",Zesty

十年内最佳模因-Meme of the decade,网络模因，在国内一般简称为“梗”，是一种独特的网络文化现象，一般是指流传度很高的媒体内容。对于国外流行的这些玩意，国内从没啥人了解，到争先抢用最新最酷炫的模因，基本就是这十年内发生的事情了。这网站将，不知道哪个会当选，真是让人有点期待啊。,4.37,[],2020-01-08,",千奇百怪,梗,流行,网络模因",Zesty

鼓点节奏生成器-Beatz.ai,人工智能学习的领域日渐铺广，可谓是只有想不到的领域，没有达不到的领域。，效果还算不错。,4.31,['https://beatz.ai/'],2020-01-06,",千奇百怪,AI,节奏,鼓点",Zesty

[特辑]2019年度十大人气趣站,时隔两年，我们的十大趣站又回归啦！之所以消失了两年，一方面是工作太忙，投入的精力少了。另一方面是我又开展了另一项业余爱好，为了不让我的人设崩塌，暂且保密！,4.46,[],2019-12-31,",公告帮助,十大趣站,年终总结",songslee

第一军团的入侵者-Intruder in the First Order,虽然说星球大战这个系列的地位在国内并不像在国外的极客圈子里那么备受重视，但作为一款传承多年的系列，从故事题材到视觉效果等各个方面，星球大战系列依旧还是能在国内圈出些粉的。经常上趣站的朋友应该能发现，这套10年前光影加上略显机械的动作和之前的几个网站有点类似，确实没错，这也是一个由Morphin驱动的网站，只不过这回生成的内容长度更长。,3.60,['https://betheintruder.com/'],2019-12-30,",千奇百怪,星球大战,视频合成",Zesty

广告是否影响网站加载速度-Webtest.app,很特别的测速工具，，详细的数据对比会让你更容易理清网站的优化思路！,3.91,[],2019-12-27,",千奇百怪,广告拦截,网站测速",songslee

浏览器全新体验圣诞大礼包-Christmas Experiments,这个网站的内容很丰富，，每个小游戏都立意新颖，会让访客有很棒的浏览体验！,4.73,['https://christmasexperiments.com/'],2019-12-25,",千奇百怪,圣诞,小游戏,浏览体验",songslee

航空事故信息汇总-PlaneCrashInfo,航空事故的发生概率很低，但是一旦发生事故，往往是生命财产损失最惨重的。希望未来的航空器越来越安全，减少危险事故的发生。,3.60,['http://planecrashinfo.com/'],2019-12-23,",千奇百怪,事件记录,航空事故",dengxin

AI生成的歌词-These Lyrics Do Not Exist,乍一看是段很动人的歌词，其实它是，生成出来的语句往往让我们有一种一想不到的心灵感触！,4.72,['https://theselyricsdonotexist.com/'],2019-12-18,",千奇百怪,AI,歌词",songslee

AI生成的瓷器-This vessel does not exist,乍一看是个很漂亮的瓷瓶，其实它是，合成出来的样子往往让我们有一种一想不到的艺术感受！,4.80,['https://thisvesseldoesnotexist.com/'],2019-12-16,",千奇百怪,AI,图片合成,瓷器",songslee

著名浮点数运算案例-0.30000000000000004,有些刚入门程序语言开发的站友可能会听说了解过，某些语言下执行0.1加0.2会得到0.30000000000000004的结果。为什么会有这种问题呢？有兴趣的站友可以去了解学习一下。,4.25,['https://0.30000000000000004.com/'],2019-12-11,",千奇百怪,浮点数,运算",Zesty

在线制作消音版伴奏-melody ml,总会有些情况下，会有想把音乐中的人声和伴奏部分拆开的想法，比如说音乐制作人为了混音采样而拆分，也有我这样为了给节奏游戏制谱更省事而拆分。虽然说结果并不会次次都令人满意，但是总体效果还是不错的。,3.00,['https://melody.ml/'],2019-12-09,",在线应用,人声,伴奏,消音版",Zesty

网页版雷神之锤III竞技场-OpenArena Live,在Steam上的售价是17元，而现在，，无需要任何插件，打开网页直接开始！,4.21,['https://openarena.live/'],2019-12-04,",轻松好玩,多人联机,雷神之锤",songslee

这个网站能塞进一张软盘里吗-Fit on a Floppy,软盘毫无疑问是属于70后、80后和前半段90后的回忆，再往后出生的人有一定几率会把它当成3D打印出来的保存图标。同时网页里也包含了一些优化页面载入的技巧。,3.67,[],2019-12-02,",千奇百怪,测试,软盘",Zesty

你从没见过的物流艺术-Logistics Art Project,来自瑞典的艺术家策划了这个项目，， 包括陆运、海运在内，共花了37天的时间！,4.36,['https://logisticsartproject.com/'],2019-11-29,",千奇百怪,物流,行为艺术,视频",songslee

《绝对汗颜》之幻想空间,这个网站远没有它的名字来的可爱。。。它是，《绝对汗颜》系列的恐怖级别你懂的！,4.64,['http://www.lomando.com/'],2019-11-27,",千奇百怪,吓人,恐怖,解谜游戏",songslee

跨维度有线电视-Inter-Dimensional Cable,相信会有一些站友听说过或者热衷Rick and Morty这个动画系列，尤其是前几周第四季的开播更是吸引了新老观众，其中的科幻和搞怪的元素备受观众喜爱。,4.56,[],2019-11-25,",轻松好玩,YouTube,有线电视",Zesty

B站专用在线视频编辑器-Bilibili Video Editor,这是目前我发布过相关趣站里最好用的！，所编辑的本地视频不需上传，在线编辑后直接下载，完全无障碍！,4.27,['https://member.bilibili.com/studio/bs-editor/'],2019-11-20,",在线应用,在线工具,视频编辑",songslee

JavaScript版俄罗斯方块-Jstris,俄罗斯方块毫无疑问是一款经典游戏。，提供不少可选规则，还可以在大厅选择或者自创房间，最棒的一点就是有完善的社区中文翻译，让不懂英语的站友也能畅玩游戏。虽然说服务器的延迟有点高，但是玩起来只要速度够快还是有机会取胜的。,4.50,['https://zh.jstris.jezevec10.com/'],2019-11-18,",轻松好玩,Javascript,俄罗斯方块,多人联机",Zesty

竞速打字排行榜-RankedTyping,打字速度毫无疑问是现在非常重要的技能之一，，没有登录的话网站也会记录访客的水平，并会列出每日和所有时间内的最快打字速度。,4.63,['https://rankedtyping.com/'],2019-11-13,",千奇百怪,打字,排行榜,竞速",Zesty

赫拉克罗斯和他绝对不想进行的冒险-Heraclos Game,WebGL毫无疑问为网页样式提供了更多的可能，但是运行独立的游戏的样例还是比较少。这个，采用了three.js，并没有用上Unity这样也能在网页上运行的外部方案，纯粹的只是使用JavaScript就做到了非常精美的效果。,4.55,['https://heraclosgame.com/'],2019-11-11,",轻松好玩,冒险,小游戏",Zesty

全国税后工资计算器-Hizdm,比较实用的工具，，并列出个税专项附加扣除的费用，简单直观！,4.63,['https://hizdm.cn/'],2019-11-06,",千奇百怪,工资,税后,计算器",songslee

完美在线图片合成工具(13)-2020Gifs,很简单的工具，，多种模板都是美国2020年总统大选的相关场景，合成后看起来都很搞笑！,3.78,[' https://2020gifs.com/'],2019-11-04,",千奇百怪,Gif,图片合成,换脸特效",songslee

比Helvetica更Hell的字体-Hellvetica,不少网页设计者在选择英文字体的时候都会青睐Helvetica这款历史悠久但又端庄精美的字体。但是本着（已经过了的）万圣节精神，有人非常搞事的推出了Hellvetica字体。，能逼出人的强迫症。,4.00,['https://hellveticafont.com/'],2019-11-02,",千奇百怪,下载,字体",Zesty

小绿人官方网站-pictogram 2.0,没看到这个网站之前真不知道这个小绿人是日本人设计出来的。。。它，包括矢量图在内的多种格式哦！,4.07,['http://pictogram2.com/'],2019-10-30,",千奇百怪,人类象形,图标,小绿人",songslee

滚动条的进化史-Evolution of the Scrollbar,无论什么年代，当时的屏幕都没法容得下尽可能多的元素，比如说文件夹里的大量文件，或者网页里的各式媒体。里面既有耳熟能详的操作系统，也有大多数人从未听说过的操作系统。不知道各位站友喜欢哪个操作系统的样式，不过我比较喜欢Mac OS X 10.0 2001那种晶莹剔透的感觉。,4.64,['https://scrollbars.matoseb.com/'],2019-10-28,",千奇百怪,滚动条,进化史",Zesty

在线表格转换工具-Table Convert,很专业的工具，但很好用！，具体的用处不太了解，但看起来感觉很厉害的样子。。。,3.11,['https://tableconvert.com/'],2019-10-23,",在线应用,在线工具,表格,转换",songslee

成年猫咪寻找服务-Adult Cat Finder,互联网上的广告最让人头疼，有时候说不定会刷到类似周围附近的性感妹子的广告，虽然说有点常识的网民都应该知道这肯定是骗人的。,3.29,[],2019-10-21,",千奇百怪,喵星人,广告,恶搞",Zesty

全球各国历史大全-All History,很棒的国产趣站，，包括政治、经济、科技、社会、文化、宗教、军事等全方位的资料，值得收藏！,4.47,['https://www.allhistory.com/'],2019-10-16,",千奇百怪,世界各国,历史,大全",songslee

细胞生命小游戏-Game of Life,这是个很烧脑的小游戏，，对于不了解这个游戏的朋友可能需要自行百度了。。。,4.62,['https://playgameoflife.com/'],2019-10-14,",千奇百怪,小游戏,康威游戏",songslee

一笔连图益智小游戏-一笔连,轻松好玩，娱乐休闲必备！，同时支持各种移动端，手机可以随时随地畅玩！,4.65,['https://www.yibilian.cn/'],2019-10-09,",轻松好玩,一笔连图,小游戏,益智",songslee

成语接龙生成器-Yi Ge Ding Lia,我们经常玩的一种文字游戏，，而网站也只能是这样，如果可以自定义接龙成语就更好了！,3.50,['https://lia.ustc-zzzz.net/'],2019-10-07,",千奇百怪,成语接龙,文字游戏",songslee

好玩的动态涂鸦画廊-doodle place,很好玩的网站，，每一个涂鸦都是动态行走在地图当中，任何访问网站的朋友都可以轻松建立属于自己的动态涂鸦！,4.50,['http://doodle-place.glitch.me/'],2019-10-04,",轻松好玩,动画,涂鸦,画廊",songslee

猜扑克牌小游戏-Guess a Card,猜扑克牌是个很有意思的游戏，但是如果没有牌的话，那就可以用这个网站来代替。后者网站中写了只支持移动版的谷歌浏览器和火狐浏览器，但QQ浏览器也是完全没有问题的，同样浏览器内核的微信估计也没有问题。,3.67,['https://guessacard.com/'],2019-09-25,",轻松好玩,小游戏,扑克",Zesty

在线体验反人类UI设计-User Inyerface,这是一个能让人烦躁的测试，，一个简单的注册过程，由于糟糕的界面设计，你要多付出一些时间来完成它！,4.30,['https://userinyerface.com/'],2019-09-23,",千奇百怪,UI,反人类,设计",songslee

[故事]我与有趣网址之家的故事 by Benson,真的十分感谢您可以在几年来不断的更新网站，为我和我周边的朋友，甚至是家人带来了无数的快乐！第一次我访问你的网站是在。。。三年前吧，那个时候的我才刚上初中，在网页上搜索“世界上最有意思的网站”。。。。搜着搜着就找到了有趣网址之家，即使那个时候的我仍旧懵懂，我依旧凭借直觉收藏了这个宝藏般的网站。,4.74,[],2019-09-21,",公告帮助,故事,有趣网址之家",songslee

免费下载个性插画-Illustrations,值得收藏的好网站，它，可以在线设置插图的主体颜色，直到满意后下载即可！,4.10,['https://undraw.co/'],2019-09-18,",千奇百怪,下载,免费,插画",songslee

在线仿真手写文稿生成器-萝卜工坊,说不定什么时候会用上的小工具。。。，支持生成PDF矢量文档，打印出来后和真的手写体一样。。。,3.32,['http://www.beautifulcarrot.com/'],2019-09-16,",在线应用,图片生成,手写体,文稿",songslee

电子游戏关卡在线博物馆-Noclip,相信不少游戏玩家会对自由观看游戏关卡感兴趣，在电子游戏关卡博物馆这个网站里，不过有些关卡似乎是没经过优化，可能在某些配置较低的电脑上存在卡顿的情况，这点需要注意一下。,4.27,['https://noclip.website/'],2019-09-13,",轻松好玩,3D,游戏关卡",Zesty

Instagram风格字体生成器-IGFonts.io,很方便的小工具，，可以复制粘贴至各种平台的编辑器中，?? 使用起来非常方便！ ??,3.98,['https://igfonts.io/'],2019-09-09,",在线应用,Instagram,字体,表情",songslee

让它来帮你做决定吧！-Yes Or No?,选择困难症必备！，当你遇到不是那么重要的选择问题，可以试试这个！,4.14,['https://yesno.wtf/'],2019-09-06,",千奇百怪,无聊,选择困难症",songslee

十年前的YouTube热门-YouTube Decade,这个标题不禁让人想到，十年前那会这个著名的404网站还可以修改Hosts来访问。，相当的有怀旧感。,3.08,[],2019-09-04,",千奇百怪,YouTube,怀旧,视频",Zesty

JS重制的经典画图-JSPaint,如果网龄够长，那么或多或少都会点开过传统Windows中的画图工具，在里面随便乱涂乱抹一会。，而不是现在Ribbon界面的画图。,3.64,['https://jspaint.app/'],2019-09-02,",千奇百怪,Javascript,画图",Zesty

为所有RGB色彩起名-COLORNAMES,RGB色彩显示方案想必大家应该都很熟悉，没错，那就是256*256*256也就是要给16777216个颜色起名。网站是英文的，不过就算英语母语用户肯定也得在这个数量上用尽词汇量。,4.11,['https://colornames.org/'],2019-08-28,",千奇百怪,RGB,色彩,起名",Zesty

生成朋友间的保密协议-frieNDA,想和朋友之间分享秘密，而且还想要来点仪式感？那么签署一份保密协议再合适不过了。，虽然说是英文的，不过内容可以填写中文，相当的酷炫。,3.65,[],2019-08-26,",千奇百怪,保密协议,模板",Zesty

极客的互联网控制台-cmd.to,相信爱好酷站的朋友应该会有不少极客，热衷特别新鲜或者特别怀旧的东西。这个cmd.to就是模仿了控制台风格，不过它，CLI爱好者会喜欢这个。,3.90,['https://cmd.to/'],2019-08-21,",在线应用,CMD,控制台,极客",Zesty

无聊巨作VII第三部-Click...Noice,当有什么东西或者事物nice到了足够的水平，它就上升到了noice。这个网站会，如果你的好友发了什么特别酷炫的东西，可以把这个网站发回去来作为评价。,4.00,['https://noice.lol/'],2019-08-19,",千奇百怪,Noice,搞笑,无聊",Zesty

马克·沃尔伯格在干啥-What is Mark Wahlberg doing now?,马克·沃尔伯格是一名演员兼制作人，国内观众一般会以变形金刚和泰迪熊这两部电影系列而熟知他的形象。这个网站，嗯，就是这样。,3.70,['http://www.whatismarkwahlbergdoing.com/'],2019-08-15,",千奇百怪,无聊,粉丝,马克·沃尔伯格",Zesty

忍者切洋葱-Ninja Cutting Onions,可能不熟悉国外网络文化的朋友不太了解，这个说法一般是用在理应坚强的男性不该流眼泪时偏偏流了眼泪后的解释说辞。，告诉大家我流泪是原因它。。。,3.53,['https://ninjascuttingonions.com'],2019-08-13,",轻松好玩,忍者,无聊,洋葱",Zesty

人声模拟器-Pink Trombone,一个在线的人声模拟器。，但如果想用这个网站模拟出一段话还是不要去尝试了，因为这不可能做到。,4.55,['https://dood.al/pinktrombone/'],2019-08-12,",千奇百怪,人声,模拟器,科普",逗B铅笔

圆滚滚的屁股插图合集-Buttsss,这个网站，网站的站长甚至还很贴心的提供了下载全部插图功能，可以用在微信或者QQ里随时随地的污别人一下。,4.32,[],2019-08-08,",千奇百怪,屁股,插图,搞笑",Zesty

在线视频编辑工具集-蜜蜂剪辑,超实用的工具！，实时在线处理，同时也支持手机端操作，相当方便！,3.93,['https://beecut.cn/online-video-editor'],2019-08-07,",在线应用,在线工具,视频编辑,视频转换",songslee

自动生成的音乐电台-Generative.fm,这个网站点开后有多种电台可供选择，而且最大的特点就是在于，有点AI的意思。这个网站另外还提供了生成音乐的功能，非常方便。,4.50,[],2019-08-06,",千奇百怪,在线生成,电台,音乐",Zesty

在线学习吉他和弦-Standard Guitar,一个在线互动的吉他教学的网站，网站通过展示和弦和音阶，以及弹奏Spotify上的歌曲来让用户学习吉他和弦。解析Spotify的歌曲背后用到了一些黑科技，相当推荐给想学吉他的朋友！,3.80,[],2019-07-31,",千奇百怪,吉他,和弦",Zesty

过时的媒体博物馆-Museum of Obsolete Media,这个网站专门收集展示了人们曾经或者仍在使用的媒体格式，网站里甚至还收录了一些来自19世纪的格式，很有沧桑感。,4.56,[],2019-07-29,",千奇百怪,媒体,收藏,格式",Zesty

文字云艺术生成器-微词云,隐约记得发布过类似的趣站，今天发布的这个是中文版， 同样，海量中文字体，完美支持中文，推荐！,4.65,[],2019-07-15,",在线应用,图片生成,文字,艺术字",songslee

用地图了解中国历史-发现中国,这是个值得收藏的网站，它，并结合google地图，重现了古代地图在现在的位置！,4.25,[],2019-07-10,",在线应用,历史,古地图",songslee

动感音乐互动DJ体验-Mikutap,很棒的鼠标互动，，随着鼠标的点击，还会加入独特的音效来点缀，配合灵动的画面，棒极啦！,4.88,[],2019-07-08,",千奇百怪,二次元,互动,鼠标",songslee

魔力AI脑补作画-Magic Sketchpad,略微恶搞的小应用，，你只要随意画一笔，剩下的就交给智能AI自动帮你画完。。。,3.73,[],2019-07-03,",千奇百怪,AI,涂鸦,画画",songslee

设计道路剖面图-Streetmix,城市道路建设离不开路面规划设计，这个网站提供一种简单便捷的道路剖面设计的模板，，从事道路设计或者爱好道路规划的小伙伴可以快来试试，发挥脑洞设计出独特合理的道路设计剖面图吧！,4.42,[],2019-07-01,",在线应用,剖面图,设计,道路",dengxin

多人在线试玩我的世界-Minecraft Classic,Minecraft我的世界10周年推出的2009还原版，，虽然是网页版，但画面还是相当流畅的，体验极好！,4.44,[],2019-06-05,",轻松好玩,Minecraft,多人联机,我的世界",songslee

在线生成虚拟简历-This resume does not exist,不知道用途是什么。。。，所有的信息都是由程序自动随机生成的，像模像样，跟真的拟的！,3.07,[],2019-06-03,",千奇百怪,在线生成,简历,虚拟",songslee

复仇者联盟3D换脸特效-avengethem,有日子没介绍图片合成类的趣站了，今天的这个，并生成GIF动画下载或分享！,3.63,[],2019-05-22,",轻松好玩,复仇者联盟,换脸特效",songslee

超爽快在线DJ打碟体验-Adventure Mach,需要带上耳机哦！，操作极其简单，用移动设备访问的话同样可以进行触摸操控！,4.67,[],2019-05-20,",千奇百怪,DJ,体验,打碟",songslee

扎心段子合集-毒鸡汤,满满的负能量。。。，越看越让人觉得生活没什么希望，想要给自己添点堵，那就来吧！,4.16,['https://www.dujitang.com.cn/'],2019-05-08,",千奇百怪,段子,负能量",songslee

在线生成业界知名LOGO-Logoly Pro,让老司机心领神会的LOGO。。。，实时操作并可生成下载透明的PNG图片！,3.50,[],2019-05-06,",千奇百怪,logo,知名,老司机",songslee

