比赛索引号,主场队伍,客场队伍,比赛时间,比分,主场排名,客场排名,公司名,初盘_赔率_主,初盘_赔率_和,初盘_赔率_客,初盘_胜率_主,初盘_胜率_和,初盘_胜率_客,初盘_返还率,即盘_赔率_主,即盘_赔率_和,即盘_赔率_客,即盘_胜率_主,即盘_胜率_和,即盘_胜率_客,即盘_返还率,凯利指数_主,凯利指数_和,凯利指数_客
404623,熱刺,曼城,2010-08-14 19:45,0-0,14,8,bet 365,2.5,3.25,2.87,37.87,29.13,32.99,94.67,2.2,3.3,3.4,43.22,28.81,27.97,95.08,0.9,0.96,1.05
404623,熱刺,曼城,2010-08-14 19:45,0-0,14,8,立博,2.4,3.3,2.87,39.01,28.37,32.62,93.62,2.25,3.3,3.2,41.93,28.59,29.48,94.34,0.92,0.96,0.99
404623,熱刺,曼城,2010-08-14 19:45,0-0,14,8,威廉希尔,2.25,3.2,2.7,39.43,27.72,32.85,88.72,2.25,3.2,3.2,41.56,29.22,29.22,93.51,0.92,0.93,0.99
404623,熱刺,曼城,2010-08-14 19:45,0-0,14,8,伟德,2.37,3.4,2.75,39.08,27.24,33.68,92.62,2.3,3.3,3.12,41.08,28.63,30.28,94.48,0.94,0.96,0.97
404618,保頓,富咸,2010-08-14 22:00,0-0,5,11,bet 365,2.2,3.3,3.4,43.22,28.81,27.97,95.08,2.2,3.3,3.4,43.22,28.81,27.97,95.08,0.92,0.96,0.99
404618,保頓,富咸,2010-08-14 22:00,0-0,5,11,立博,2.25,3.3,3.2,41.93,28.59,29.48,94.34,2.25,3.3,3.2,41.93,28.59,29.48,94.34,0.95,0.96,0.93
404618,保頓,富咸,2010-08-14 22:00,0-0,5,11,威廉希尔,2.0,3.2,3.2,44.44,27.78,27.78,88.88,2.15,3.3,3.4,43.79,28.53,27.69,94.15,0.9,0.96,0.99
404618,保頓,富咸,2010-08-14 22:00,0-0,5,11,伟德,2.15,3.1,3.4,42.99,29.82,27.19,92.43,2.25,3.25,3.4,42.48,29.41,28.11,95.58,0.95,0.94,0.99
404616,布力般流浪,愛華頓,2010-08-14 22:00,1-0,4,12,bet 365,2.75,3.25,2.62,34.53,29.22,36.25,94.96,3,3.3,2.4,31.65,28.78,39.57,94.95,0.99,0.96,0.91
404616,布力般流浪,愛華頓,2010-08-14 22:00,1-0,4,12,立博,2.8,3.3,2.5,33.69,28.58,37.73,94.33,2.8,3.3,2.5,33.69,28.58,37.73,94.33,0.92,0.96,0.95
404616,布力般流浪,愛華頓,2010-08-14 22:00,1-0,4,12,威廉希尔,2.62,3.2,2.3,33.81,27.68,38.51,88.58,3.1,3.3,2.3,30.42,28.58,41,94.3,1.02,0.96,0.87
404616,布力般流浪,愛華頓,2010-08-14 22:00,1-0,4,12,伟德,2.75,3.12,2.5,33.54,29.56,36.9,92.24,2.87,3.2,2.5,32.84,29.46,37.7,94.25,0.95,0.93,0.95
404622,新特蘭,伯明翰,2010-08-14 22:00,2-2,19,13,bet 365,2.2,3.25,3.4,43.03,29.13,27.84,94.67,2,3.3,4,47.48,28.78,23.74,94.96,0.88,0.96,1.12
404622,新特蘭,伯明翰,2010-08-14 22:00,2-2,19,13,立博,2.1,3.3,3.5,44.72,28.46,26.83,93.91,2.1,3.3,3.5,44.72,28.46,26.83,93.91,0.92,0.96,0.98
404622,新特蘭,伯明翰,2010-08-14 22:00,2-2,19,13,威廉希尔,2.1,3.2,3.0,42.44,27.85,29.71,89.12,2.1,3.25,3.5,44.52,28.77,26.71,93.49,0.92,0.94,0.98
404622,新特蘭,伯明翰,2010-08-14 22:00,2-2,19,13,伟德,2.15,3.2,3.4,43.4,29.16,27.44,93.31,2.2,3.4,3.4,43.59,28.21,28.21,95.9,0.97,0.99,0.95
404624,狼隊,史篤城,2010-08-14 22:00,2-1,15,16,bet 365,2.3,3.25,3.2,41.21,29.17,29.62,94.78,2.37,3.2,3.1,39.92,29.56,30.52,94.61,0.95,0.93,0.96
404624,狼隊,史篤城,2010-08-14 22:00,2-1,15,16,立博,2.25,3.3,3.2,41.93,28.59,29.48,94.34,2.25,3.3,3.2,41.93,28.59,29.48,94.34,0.9,0.96,0.99
404624,狼隊,史篤城,2010-08-14 22:00,2-1,15,16,威廉希尔,2.3,3.1,2.7,38.55,28.6,32.84,88.66,2.37,3.2,3,39.52,29.27,31.22,93.66,0.95,0.93,0.93
404624,狼隊,史篤城,2010-08-14 22:00,2-1,15,16,伟德,2.2,3.12,3.25,41.98,29.6,28.42,92.36,2.5,3.25,2.87,37.87,29.13,32.99,94.67,1.0,0.94,0.89
404615,阿士東維拉,韋斯咸,2010-08-14 22:00,3-0,3,18,bet 365,1.66,3.6,5.5,56.72,26.16,17.12,94.16,1.9,3.4,4.2,49.72,27.79,22.49,94.47,0.95,0.95,0.92
404615,阿士東維拉,韋斯咸,2010-08-14 22:00,3-0,3,18,立博,1.66,3.6,5.5,56.72,26.16,17.12,94.16,1.9,3.4,4,49.17,27.48,23.36,93.42,0.95,0.95,0.88
404615,阿士東維拉,韋斯咸,2010-08-14 22:00,3-0,3,18,威廉希尔,1.57,3.5,5.0,56.74,25.45,17.81,89.08,1.95,3.3,4,48.11,28.43,23.46,93.81,0.98,0.92,0.88
404615,阿士東維拉,韋斯咸,2010-08-14 22:00,3-0,3,18,伟德,1.72,3.5,4.75,53.95,26.51,19.54,92.79,2,3.3,4.2,48.02,29.11,22.87,96.04,1.0,0.92,0.92
404617,韋根,黑池,2010-08-14 22:00,0-4,17,20,bet 365,1.83,3.6,4.33,51.79,26.33,21.89,94.78,1.72,3.6,5,54.89,26.23,18.88,94.41,0.89,0.97,1.05
404617,韋根,黑池,2010-08-14 22:00,0-4,17,20,立博,1.8,3.5,4.5,52.24,26.87,20.9,94.03,1.8,3.5,4.5,52.24,26.87,20.9,94.03,0.94,0.95,0.95
