比赛索引号,主场队伍,客场队伍,比赛时间,比分,主场排名,客场排名,公司名,初盘_赔率_主,初盘_赔率_和,初盘_赔率_客,初盘_胜率_主,初盘_胜率_和,初盘_胜率_客,初盘_返还率,即盘_赔率_主,即盘_赔率_和,即盘_赔率_客,即盘_胜率_主,即盘_胜率_和,即盘_胜率_客,即盘_返还率,凯利指数_主,凯利指数_和,凯利指数_客
1720912,利物浦,诺维奇,2019-08-10 03:00,4-1,2,英冠1,bet 365,1.14,8.5,17.0,83.25,11.17,5.58,94.91,1.14,9.5,21,85.16,10.22,4.62,97.08,0.96,1.01,1.12
1720912,利物浦,诺维奇,2019-08-10 03:00,4-1,2,英冠1,威廉希尔,1.12,7.0,17.0,81.57,13.05,5.37,91.36,1.11,9.5,21,85.49,9.99,4.52,94.9,0.93,1.01,1.12
1720912,利物浦,诺维奇,2019-08-10 03:00,4-1,2,英冠1,立博,1.12,7.0,21.0,82.42,13.19,4.4,92.31,1.13,8,21,83.68,11.82,4.5,94.56,0.95,0.85,1.12
1720912,利物浦,诺维奇,2019-08-10 03:00,4-1,2,英冠1,伟德,1.11,10.0,31.0,87.2,9.68,3.12,96.79,1.14,9.5,23,85.5,10.26,4.24,97.47,0.96,1.01,1.23
1720911,西汉姆联,曼彻斯特城,2019-08-10 19:30,0-5,10,1,bet 365,9.5,5.5,1.3,9.97,17.21,72.82,94.67,12,7,1.25,8.12,13.92,77.96,97.45,1.03,1.06,0.95
1720911,西汉姆联,曼彻斯特城,2019-08-10 19:30,0-5,10,1,威廉希尔,10.0,5.0,1.28,9.25,18.5,72.25,92.49,12,6.5,1.24,7.98,14.74,77.27,95.82,1.03,0.98,0.95
1720911,西汉姆联,曼彻斯特城,2019-08-10 19:30,0-5,10,1,立博,9.0,4.5,1.33,10.24,20.48,69.28,92.15,12,6,1.25,7.94,15.87,76.19,95.24,1.03,0.91,0.95
1720911,西汉姆联,曼彻斯特城,2019-08-10 19:30,0-5,10,1,伟德,11.5,6.0,1.29,8.45,16.2,75.35,97.2,12,6.5,1.29,8.23,15.2,76.57,98.78,1.03,0.98,0.98
1720909,伯恩利,南安普敦,2019-08-10 22:00,3-0,15,16,bet 365,2.5,3.2,2.9,37.83,29.56,32.61,94.58,2.7,3.25,2.9,36.21,30.08,33.71,97.76,0.98,0.97,0.98
1720909,伯恩利,南安普敦,2019-08-10 22:00,3-0,15,16,威廉希尔,2.5,3.25,2.6,36.62,28.17,35.21,91.55,2.62,3.2,2.8,36.3,29.72,33.97,95.12,0.95,0.96,0.95
