比赛索引号,主场队伍,客场队伍,比赛时间,比分,主场排名,客场排名,公司名,初盘_赔率_主,初盘_赔率_和,初盘_赔率_客,初盘_胜率_主,初盘_胜率_和,初盘_胜率_客,初盘_返还率,即盘_赔率_主,即盘_赔率_和,即盘_赔率_客,即盘_胜率_主,即盘_胜率_和,即盘_胜率_客,即盘_返还率,凯利指数_主,凯利指数_和,凯利指数_客
1247648,赫尔城,莱切斯特城,2016-08-13 19:30,2-1,英冠4,1,伟德,3.25,3.5,2.3,29.93,27.79,42.29,97.26,4.75,3.6,1.87,20.58,27.15,52.27,97.75,1.05,1.01,0.93
1247648,赫尔城,莱切斯特城,2016-08-13 19:30,2-1,英冠4,1,威廉希尔,4.0,3.4,1.91,23.42,27.55,49.04,93.66,4.33,3.25,1.91,21.74,28.97,49.29,94.14,0.96,0.91,0.95
1247648,赫尔城,莱切斯特城,2016-08-13 19:30,2-1,英冠4,1,立博,2.9,3.4,2.2,31.53,26.9,41.57,91.45,4.7,3.5,1.85,20.48,27.5,52.02,96.24,1.04,0.98,0.92
1247648,赫尔城,莱切斯特城,2016-08-13 19:30,2-1,英冠4,1,bet 365,3.0,3.4,2.3,31.38,27.69,40.93,94.14,4.5,3.6,1.9,21.65,27.07,51.28,97.44,1.0,1.01,0.95
1247644,伯恩利,斯旺西,2016-08-13 22:00,0-1,英冠1,12,伟德,2.6,3.3,2.8,36.81,29.0,34.18,95.71,2.75,3.2,2.88,35.53,30.54,33.93,97.72,1.01,0.97,0.95
1247644,伯恩利,斯旺西,2016-08-13 22:00,0-1,英冠1,12,威廉希尔,2.3,3.3,3.1,41.0,28.58,30.42,94.3,2.7,3.1,2.7,34.83,30.34,34.83,94.04,0.99,0.94,0.89
1247644,伯恩利,斯旺西,2016-08-13 22:00,0-1,英冠1,12,立博,2.35,3.4,2.7,39.04,26.98,33.98,91.74,2.75,3.25,2.9,35.79,30.28,33.93,98.41,1.01,0.99,0.96
1247644,伯恩利,斯旺西,2016-08-13 22:00,0-1,英冠1,12,bet 365,2.5,3.25,2.8,37.56,28.9,33.54,93.91,2.8,3.25,2.8,34.95,30.11,34.95,97.85,1.03,0.99,0.93
1247646,水晶宫,西布罗姆维奇,2016-08-13 22:00,0-1,15,14,伟德,2.2,3.4,3.5,43.94,28.43,27.62,96.68,2.15,3.25,4.2,46.01,30.44,23.55,98.92,1.0,0.97,0.99
1247646,水晶宫,西布罗姆维奇,2016-08-13 22:00,0-1,15,14,威廉希尔,2.25,3.3,3.2,41.93,28.59,29.48,94.34,2.2,3.1,3.6,43.09,30.58,26.33,94.8,1.03,0.92,0.85
1247646,水晶宫,西布罗姆维奇,2016-08-13 22:00,0-1,15,14,立博,2.05,3.4,3.2,44.57,26.87,28.55,91.37,2.2,3.2,4,44.69,30.73,24.58,98.32,1.03,0.95,0.95
1247646,水晶宫,西布罗姆维奇,2016-08-13 22:00,0-1,15,14,bet 365,2.1,3.25,3.6,44.85,28.98,26.16,94.19,2.15,3.25,4,45.47,30.08,24.44,97.77,1.0,0.97,0.95
1247647,埃弗顿,托特纳姆热刺,2016-08-13 22:00,1-1,11,3,伟德,3.0,3.5,2.45,32.45,27.81,39.74,97.35,3.6,3.4,2.2,27.06,28.65,44.28,97.42,1.1,0.98,0.89
1247647,埃弗顿,托特纳姆热刺,2016-08-13 22:00,1-1,11,3,威廉希尔,3.1,3.3,2.3,30.42,28.58,41.0,94.3,3.3,3.3,2.2,28.57,28.57,42.86,94.29,1.01,0.95,0.89
1247647,埃弗顿,托特纳姆热刺,2016-08-13 22:00,1-1,11,3,立博,2.62,3.5,2.35,34.92,26.14,38.94,91.5,3.5,3.5,2.25,28.12,28.12,43.75,98.44,1.07,1.01,0.91
1247647,埃弗顿,托特纳姆热刺,2016-08-13 22:00,1-1,11,3,bet 365,2.7,3.4,2.5,34.79,27.63,37.58,93.94,3.2,3.4,2.37,30.38,28.6,41.02,97.22,0.98,0.98,0.96
1247651,南安普敦,沃特福德,2016-08-13 22:00,1-1,6,13,伟德,1.75,3.75,5.25,55.56,25.93,18.52,97.22,1.8,3.7,5,54.16,26.35,19.5,97.48,0.96,0.98,1.01
1247651,南安普敦,沃特福德,2016-08-13 22:00,1-1,6,13,威廉希尔,1.57,4.0,5.5,59.6,23.39,17.01,93.57,1.75,3.4,5,53.63,27.6,18.77,93.85,0.93,0.9,1.01
1247651,南安普敦,沃特福德,2016-08-13 22:00,1-1,6,13,立博,1.75,3.7,4.1,52.64,24.9,22.47,92.11,1.75,3.8,5.2,55.65,25.63,18.73,97.38,0.93,1.01,1.05
1247651,南安普敦,沃特福德,2016-08-13 22:00,1-1,6,13,bet 365,1.72,3.8,4.5,54.5,24.67,20.83,93.74,1.8,3.75,5,54.35,26.09,19.57,97.83,0.96,0.99,1.01
1247650,米德尔斯堡,斯托克城,2016-08-13 22:00,1-1,英冠2,9,伟德,2.7,3.25,2.75,35.55,29.54,34.91,96.0,2.25,3.25,3.6,43.15,29.88,26.97,97.1,0.95,0.98,1.0
1247650,米德尔斯堡,斯托克城,2016-08-13 22:00,1-1,英冠2,9,威廉希尔,2.6,3.2,2.7,36.03,29.27,34.7,93.68,2.2,3.1,3.5,42.77,30.35,26.88,94.09,0.93,0.93,0.97
