比赛索引号,主场队伍,客场队伍,比赛时间,比分,主场排名,客场排名,公司名,初盘_赔率_主,初盘_赔率_和,初盘_赔率_客,初盘_胜率_主,初盘_胜率_和,初盘_胜率_客,初盘_返还率,即盘_赔率_主,即盘_赔率_和,即盘_赔率_客,即盘_胜率_主,即盘_胜率_和,即盘_胜率_客,即盘_返还率,凯利指数_主,凯利指数_和,凯利指数_客
560854,富勒姆,阿斯頓維拉,2011-08-13 22:00,0-0,8,9,bet 365,2.25,3.3,2.87,40.55,27.65,31.79,91.24,1.9,3.3,4.33,49.64,28.58,21.78,94.32,0.89,0.92,1.08
560854,富勒姆,阿斯頓維拉,2011-08-13 22:00,0-0,8,9,立博,2.25,3.3,3.0,41.12,28.04,30.84,92.52,1.9,3.3,4.2,49.31,28.39,22.31,93.69,0.89,0.92,1.05
560854,富勒姆,阿斯頓維拉,2011-08-13 22:00,0-0,8,9,威廉希尔,2.15,3.0,3.1,41.49,29.73,28.78,89.2,2,3.4,3.75,47.13,27.73,25.14,94.26,0.94,0.95,0.94
560854,富勒姆,阿斯頓維拉,2011-08-13 22:00,0-0,8,9,伟德,2.25,3.4,2.87,40.89,27.06,32.05,92.0,1.9,3.5,4.33,50.46,27.39,22.14,95.87,0.89,0.98,1.08
560858,昆士柏流浪,保頓,2011-08-13 22:00,0-4,15,14,bet 365,2.3,3.25,2.87,39.86,28.21,31.94,91.68,2.2,3.3,3.4,43.22,28.81,27.97,95.08,0.92,0.96,0.99
560858,昆士柏流浪,保頓,2011-08-13 22:00,0-4,15,14,立博,2.4,3.3,2.75,38.46,27.97,33.57,92.3,2.25,3.25,3.2,41.75,28.9,29.35,93.94,0.95,0.94,0.93
560858,昆士柏流浪,保頓,2011-08-13 22:00,0-4,15,14,威廉希尔,2.3,3.1,2.75,38.79,28.78,32.44,89.22,2.25,3.2,3.2,41.56,29.22,29.22,93.51,0.95,0.93,0.93
560858,昆士柏流浪,保頓,2011-08-13 22:00,0-4,15,14,伟德,2.5,3.25,2.62,36.72,28.24,35.04,91.8,2.15,3.2,3.8,44.69,30.03,25.28,96.08,0.9,0.93,1.1
560862,韋根,諾域治,2011-08-13 22:00,1-1,16,14,bet 365,1.9,3.4,3.6,47.92,26.78,25.29,91.05,2.4,3.2,3.1,39.62,29.71,30.67,95.09,1.03,0.93,0.9
560862,韋根,諾域治,2011-08-13 22:00,1-1,16,14,立博,1.83,3.5,4.0,50.5,26.4,23.1,92.42,2.3,3.2,3.2,41.03,29.49,29.49,94.37,0.99,0.93,0.93
560862,韋根,諾域治,2011-08-13 22:00,1-1,16,14,威廉希尔,1.85,3.3,3.6,48.2,27.02,24.77,89.17,2.37,3.2,3,39.52,29.27,31.22,93.66,1.02,0.93,0.87
560862,韋根,諾域治,2011-08-13 22:00,1-1,16,14,伟德,1.9,3.4,3.75,48.41,27.06,24.53,91.98,2.4,3.3,3.12,40.06,29.13,30.81,96.14,1.03,0.96,0.9
560853,布力般流浪,狼隊,2011-08-13 22:00,1-2,15,17,bet 365,1.9,3.5,3.5,47.95,26.03,26.03,91.11,2.5,3.1,3,37.88,30.55,31.57,94.7,1.08,0.9,0.84
560853,布力般流浪,狼隊,2011-08-13 22:00,1-2,15,17,立博,1.9,3.4,3.75,48.41,27.06,24.53,91.98,2.25,3.3,3.2,41.93,28.59,29.48,94.34,0.97,0.96,0.9
560853,布力般流浪,狼隊,2011-08-13 22:00,1-2,15,17,威廉希尔,1.85,3.4,3.5,48.25,26.25,25.5,89.26,2.3,3.1,3.2,40.64,30.15,29.21,93.47,0.99,0.9,0.9
560853,布力般流浪,狼隊,2011-08-13 22:00,1-2,15,17,伟德,1.95,3.3,3.8,47.53,28.08,24.39,92.68,2.5,3,3.2,38.25,31.87,29.88,95.62,1.08,0.87,0.9
560855,利物浦,桑德蘭,2011-08-13 22:00,1-1,6,10,bet 365,1.36,4.33,8.0,67.38,21.16,11.45,91.64,1.44,4.2,8,65.67,22.51,11.82,94.56,0.92,0.97,1.04
560855,利物浦,桑德蘭,2011-08-13 22:00,1-1,6,10,立博,1.33,4.5,9.0,69.28,20.48,10.24,92.14,1.44,4,8,64.94,23.38,11.69,93.51,0.92,0.92,1.04
560855,利物浦,桑德蘭,2011-08-13 22:00,1-1,6,10,威廉希尔,1.35,4.2,7.0,66.04,21.23,12.74,89.15,1.5,4,7,62.92,23.6,13.48,94.38,0.96,0.92,0.91
560855,利物浦,桑德蘭,2011-08-13 22:00,1-1,6,10,伟德,1.44,3.75,9.0,64.77,24.87,10.36,93.27,1.4,4.75,7.5,67.5,19.9,12.6,94.5,0.9,1.09,0.98
560857,紐卡素,阿森納,2011-08-14 00:30,0-0,12,4,bet 365,3.6,3.4,1.9,25.29,26.78,47.92,91.04,3.4,3.3,2.2,27.97,28.81,43.22,95.1,0.88,0.92,1.01
560857,紐卡素,阿森納,2011-08-14 00:30,0-0,12,4,立博,4.0,3.4,1.83,22.92,26.97,50.11,91.68,3.5,3.3,2.1,26.83,28.46,44.72,93.9,0.91,0.92,0.97
560857,紐卡素,阿森納,2011-08-14 00:30,0-0,12,4,威廉希尔,3.6,3.5,1.8,24.82,25.53,49.65,89.35,3.4,3.25,2.15,27.57,28.84,43.59,93.74,0.88,0.91,0.99
560857,紐卡素,阿森納,2011-08-14 00:30,0-0,12,4,伟德,4.6,3.5,1.72,20.05,26.35,53.61,92.23,3.5,3.4,2.2,27.62,28.43,43.94,96.67,0.91,0.95,1.01
560859,斯托克城,切爾西,2011-08-14 20:30,0-0,13,2,bet 365,5.5,3.6,1.61,16.82,25.7,57.47,92.51,4.2,3.5,1.9,22.67,27.21,50.12,95.21,0.76,0.95,1.05
560859,斯托克城,切爾西,2011-08-14 20:30,0-0,13,2,立博,5.5,3.5,1.61,16.7,26.24,57.05,91.85,4.5,3.5,1.8,20.9,26.87,52.24,94.05,0.81,0.95,0.99
