比赛索引号,主场队伍,客场队伍,比赛时间,比分,主场排名,客场排名,公司名,初盘_赔率_主,初盘_赔率_和,初盘_赔率_客,初盘_胜率_主,初盘_胜率_和,初盘_胜率_客,初盘_返还率,即盘_赔率_主,即盘_赔率_和,即盘_赔率_客,即盘_胜率_主,即盘_胜率_和,即盘_胜率_客,即盘_返还率,凯利指数_主,凯利指数_和,凯利指数_客
1903811,富勒姆,阿森纳,2020-09-12 19:30,0-3,英冠4,8,bet 365,4.5,3.8,1.72,20.83,24.67,54.5,93.74,5,4,1.66,19,23.76,57.24,95.02,0.89,0.97,0.96
1903811,富勒姆,阿森纳,2020-09-12 19:30,0-3,英冠4,8,威廉希尔,5.5,4.33,1.57,17.32,22.0,60.68,95.26,5.5,3.8,1.65,17.3,25.04,57.66,95.14,0.98,0.92,0.96
1903811,富勒姆,阿森纳,2020-09-12 19:30,0-3,英冠4,8,立博,4.25,3.5,1.67,21.01,25.51,53.47,89.3,5.25,3.7,1.67,17.98,25.51,56.51,94.38,0.93,0.89,0.97
1903811,富勒姆,阿森纳,2020-09-12 19:30,0-3,英冠4,8,伟德,4.75,4.0,1.7,20.07,23.84,56.09,95.35,5.5,3.9,1.67,17.53,24.73,57.74,96.43,0.98,0.94,0.97
1903810,水晶宫,南安普敦,2020-09-12 22:00,1-0,14,11,bet 365,2.8,3.25,2.5,33.54,28.9,37.56,93.91,3,3.25,2.4,31.52,29.09,39.39,94.55,0.91,0.96,0.96
1903810,水晶宫,南安普敦,2020-09-12 22:00,1-0,14,11,威廉希尔,2.87,3.3,2.5,33.14,28.82,38.04,95.11,3.1,3.1,2.45,30.63,30.63,38.75,94.94,0.94,0.92,0.98
1903810,水晶宫,南安普敦,2020-09-12 22:00,1-0,14,11,立博,2.75,2.9,2.45,32.57,30.88,36.55,89.56,3,3.1,2.45,31.33,30.32,38.36,93.98,0.91,0.92,0.98
1903810,水晶宫,南安普敦,2020-09-12 22:00,1-0,14,11,伟德,2.9,3.2,2.55,32.86,29.78,37.37,95.28,3.1,3.25,2.45,31.06,29.63,39.31,96.3,0.94,0.96,0.98
1903813,利物浦,利兹联,2020-09-13 00:30,4-3,1,英冠1,bet 365,1.3,5.5,9.0,72.42,17.12,10.46,94.15,1.25,6,11,75.64,15.76,8.6,94.56,0.92,0.97,1.11
1903813,利物浦,利兹联,2020-09-13 00:30,4-3,1,英冠1,威廉希尔,1.27,6.0,10.0,74.7,15.81,9.49,94.87,1.28,5.8,10,74.15,16.36,9.49,94.91,0.94,0.94,1.01
