比赛索引号,主场队伍,客场队伍,比赛时间,比分,主场排名,客场排名,公司名,初盘_赔率_主,初盘_赔率_和,初盘_赔率_客,初盘_胜率_主,初盘_胜率_和,初盘_胜率_客,初盘_返还率,即盘_赔率_主,即盘_赔率_和,即盘_赔率_客,即盘_胜率_主,即盘_胜率_和,即盘_胜率_客,即盘_返还率,凯利指数_主,凯利指数_和,凯利指数_客
1551741,曼彻斯特联,莱切斯特城,2018-08-11 03:00,2-1,2,9,bet 365,1.4,4.33,8.5,67.2,21.73,11.07,94.08,1.55,4,7.5,62.73,24.31,12.96,97.23,0.97,0.97,1.01
1551741,曼彻斯特联,莱切斯特城,2018-08-11 03:00,2-1,2,9,威廉希尔,1.33,5.0,7.0,68.68,18.27,13.05,91.35,1.57,3.9,6.5,60.82,24.49,14.69,95.49,0.98,0.94,0.87
1551741,曼彻斯特联,莱切斯特城,2018-08-11 03:00,2-1,2,9,立博,1.29,5.5,8.0,71.64,16.8,11.55,92.42,1.53,3.9,6.5,61.44,24.1,14.46,94,0.95,0.94,0.87
1551741,曼彻斯特联,莱切斯特城,2018-08-11 03:00,2-1,2,9,伟德,1.33,5.5,9.5,72.37,17.5,10.13,96.25,1.55,4.1,7.5,63.1,23.86,13.04,97.81,0.97,0.99,1.01
1551744,纽卡斯尔联,托特纳姆热刺,2018-08-11 19:30,1-2,10,3,bet 365,4.33,3.5,1.83,21.72,26.88,51.4,94.06,4.5,3.6,1.9,21.65,27.07,51.28,97.44,1.02,1.0,0.94
1551744,纽卡斯尔联,托特纳姆热刺,2018-08-11 19:30,1-2,10,3,威廉希尔,4.5,3.5,1.73,20.46,26.31,53.23,92.08,4.6,3.25,1.85,20.4,28.87,50.73,93.84,1.04,0.9,0.92
1551744,纽卡斯尔联,托特纳姆热刺,2018-08-11 19:30,1-2,10,3,立博,4.33,3.6,1.73,21.25,25.56,53.19,92.02,4.33,3.5,1.85,21.85,27.03,51.13,94.59,0.98,0.97,0.92
1551744,纽卡斯尔联,托特纳姆热刺,2018-08-11 19:30,1-2,10,3,伟德,4.5,3.6,1.85,21.36,26.7,51.95,96.1,4.5,3.5,1.92,21.6,27.77,50.63,97.2,1.02,0.97,0.95
1551738,富勒姆,水晶宫,2018-08-11 22:00,0-2,英冠3,11,bet 365,2.2,3.25,3.25,42.48,28.76,28.76,93.46,2.6,3.4,2.9,37.58,28.73,33.69,97.7,1.0,0.97,0.95
1551738,富勒姆,水晶宫,2018-08-11 22:00,0-2,英冠3,11,威廉希尔,2.3,3.25,2.87,39.86,28.21,31.94,91.67,2.6,3.2,2.7,36.03,29.27,34.7,93.68,1.0,0.92,0.89
1551738,富勒姆,水晶宫,2018-08-11 22:00,0-2,英冠3,11,立博,2.38,3.4,2.7,38.74,27.12,34.15,92.2,2.5,3.3,2.75,37.5,28.41,34.09,93.75,0.96,0.95,0.9
1551738,富勒姆,水晶宫,2018-08-11 22:00,0-2,英冠3,11,伟德,2.4,3.4,3.1,40.32,28.46,31.22,96.77,2.6,3.4,2.88,37.49,28.67,33.84,97.47,1.0,0.97,0.95
1551742,哈德斯菲尔德,切尔西,2018-08-11 22:00,0-3,16,5,bet 365,6.0,4.0,1.53,15.57,23.36,61.07,93.44,7,4,1.57,13.87,24.28,61.85,97.11,1.04,0.97,0.96
1551742,哈德斯菲尔德,切尔西,2018-08-11 22:00,0-3,16,5,威廉希尔,5.0,4.33,1.5,18.22,21.04,60.74,91.11,7,3.75,1.55,13.55,25.28,61.17,94.82,1.04,0.91,0.94
1551742,哈德斯菲尔德,切尔西,2018-08-11 22:00,0-3,16,5,立博,6.0,4.33,1.44,15.26,21.15,63.59,91.57,6,3.9,1.57,15.72,24.19,60.09,94.34,0.89,0.94,0.96
1551742,哈德斯菲尔德,切尔西,2018-08-11 22:00,0-3,16,5,伟德,6.5,4.3,1.53,14.79,22.36,62.85,96.15,6.5,4,1.6,14.95,24.3,60.75,97.2,0.97,0.97,0.97
1551746,沃特福德,布莱顿,2018-08-11 22:00,2-0,14,15,bet 365,2.2,3.25,3.25,42.48,28.76,28.76,93.46,2.5,3.1,3.3,39,31.45,29.55,97.5,1.0,0.95,0.97
1551746,沃特福德,布莱顿,2018-08-11 22:00,2-0,14,15,威廉希尔,2.2,3.2,3.1,41.72,28.68,29.6,91.77,2.62,2.87,3,35.89,32.76,31.34,94.03,1.04,0.88,0.89
1551746,沃特福德,布莱顿,2018-08-11 22:00,2-0,14,15,立博,2.2,3.4,3.0,42.01,27.18,30.81,92.42,2.4,3,3.1,38.85,31.08,30.08,93.23,0.96,0.92,0.92
1551746,沃特福德,布莱顿,2018-08-11 22:00,2-0,14,15,伟德,2.3,3.4,3.3,42.13,28.5,29.37,96.91,2.55,3.12,3.2,38.25,31.26,30.48,97.54,1.02,0.96,0.94
1551739,伯恩茅斯,卡迪夫城,2018-08-11 22:00,2-0,12,英冠2,bet 365,1.83,3.4,4.5,51.42,27.67,20.91,94.09,1.85,3.6,4.75,52.54,27,20.46,97.2,0.95,0.97,1.04
1551739,伯恩茅斯,卡迪夫城,2018-08-11 22:00,2-0,12,英冠2,威廉希尔,1.91,3.25,4.0,48.42,28.46,23.12,92.49,1.85,3.4,4.33,50.73,27.6,21.67,93.84,0.95,0.92,0.95
1551739,伯恩茅斯,卡迪夫城,2018-08-11 22:00,2-0,12,英冠2,立博,2.0,3.4,3.4,45.95,27.03,27.03,91.89,1.83,3.5,4.2,51.06,26.7,22.25,93.44,0.94,0.94,0.92
1551739,伯恩茅斯,卡迪夫城,2018-08-11 22:00,2-0,12,英冠2,伟德,1.95,3.4,4.33,49.41,28.34,22.25,96.35,1.87,3.6,4.75,52.27,27.15,20.58,97.75,0.96,0.97,1.04
1551747,狼队,埃弗顿,2018-08-12 00:30,2-2,英冠1,8,bet 365,2.4,3.3,2.87,39.01,28.37,32.62,93.62,2.4,3.25,3.3,40.56,29.95,29.5,97.33,0.99,0.97,0.96
1551747,狼队,埃弗顿,2018-08-12 00:30,2-2,英冠1,8,威廉希尔,2.2,3.2,3.1,41.72,28.68,29.6,91.77,2.3,3.2,3.1,40.64,29.21,30.15,93.47,0.95,0.95,0.9
1551747,狼队,埃弗顿,2018-08-12 00:30,2-2,英冠1,8,立博,2.7,3.4,2.38,34.15,27.12,38.74,92.2,2.35,3.1,3.1,39.74,30.13,30.13,93.4,0.97,0.92,0.9
1551747,狼队,埃弗顿,2018-08-12 00:30,2-2,英冠1,8,伟德,2.62,3.4,2.8,36.95,28.47,34.58,96.81,2.4,3.25,3.3,40.56,29.95,29.5,97.33,0.99,0.97,0.96
1551745,南安普敦,伯恩利,2018-08-12 20:30,0-0,17,7,bet 365,1.9,3.4,4.0,49.17,27.48,23.36,93.42,2,3.2,4.75,48.87,30.55,20.58,97.75,0.98,0.94,1.02
1551745,南安普敦,伯恩利,2018-08-12 20:30,0-0,17,7,威廉希尔,1.91,3.25,4.0,48.42,28.46,23.12,92.49,2,3.25,4,47.27,29.09,23.64,94.55,0.98,0.96,0.86
1551745,南安普敦,伯恩利,2018-08-12 20:30,0-0,17,7,立博,1.83,3.5,4.0,50.5,26.4,23.1,92.41,2,3.1,4.2,47.14,30.41,22.45,94.28,0.98,0.91,0.9
