比赛索引号,主场队伍,客场队伍,比赛时间,比分,主场排名,客场排名,公司名,初盘_赔率_主,初盘_赔率_和,初盘_赔率_客,初盘_胜率_主,初盘_胜率_和,初盘_胜率_客,初盘_返还率,即盘_赔率_主,即盘_赔率_和,即盘_赔率_客,即盘_胜率_主,即盘_胜率_和,即盘_胜率_客,即盘_返还率,凯利指数_主,凯利指数_和,凯利指数_客
987102,曼聯,史雲斯,2014-08-16 19:45,1-2,16,4,伟德,1.333,5.0,10.5,71.76,19.13,9.11,95.66,1.4,5,9,69.66,19.5,10.84,97.52,0.97,1.0,0.99
987102,曼聯,史雲斯,2014-08-16 19:45,1-2,16,4,威廉希尔,1.33,4.33,8.5,68.32,20.99,10.69,90.87,1.4,4.5,8,67.29,20.93,11.78,94.21,0.97,0.9,0.88
987102,曼聯,史雲斯,2014-08-16 19:45,1-2,16,4,立博,1.33,4.6,8.5,69.18,20.0,10.82,92.01,1.44,4.5,8,66.67,21.33,12,96,0.99,0.9,0.88
987102,曼聯,史雲斯,2014-08-16 19:45,1-2,16,4,bet 365,1.36,5.0,7.5,68.81,18.72,12.48,93.58,1.45,4.75,8,67.27,20.54,12.19,97.54,1.0,0.95,0.88
987104,昆士柏流浪,侯城,2014-08-16 22:00,0-1,17,7,伟德,2.4,3.4,3.0,39.91,28.17,31.92,95.78,2.45,3.125,3.4,39.93,31.3,28.77,97.83,0.96,0.94,1.05
987104,昆士柏流浪,侯城,2014-08-16 22:00,0-1,17,7,威廉希尔,2.4,3.3,2.7,38.22,27.8,33.98,91.73,2.37,3.2,3,39.52,29.27,31.22,93.66,0.92,0.96,0.93
987104,昆士柏流浪,侯城,2014-08-16 22:00,0-1,17,7,立博,2.37,3.25,2.8,38.83,28.31,32.86,92.03,2.3,3.2,3.4,41.75,30.01,28.24,96.02,0.9,0.96,1.05
987104,昆士柏流浪,侯城,2014-08-16 22:00,0-1,17,7,bet 365,2.25,3.5,3.0,41.79,26.87,31.34,94.03,2.3,3.25,3.5,42.29,29.93,27.79,97.27,0.9,0.98,1.09
987106,西布朗,新特蘭,2014-08-16 22:00,2-2,10,8,伟德,2.3,3.5,3.125,41.79,27.46,30.75,96.12,2.2,3.25,3.8,44.33,30.01,25.66,97.53,0.97,0.94,1.03
987106,西布朗,新特蘭,2014-08-16 22:00,2-2,10,8,威廉希尔,2.25,3.3,2.9,40.69,27.74,31.57,91.55,2.05,3.2,3.8,45.87,29.39,24.75,94.03,0.9,0.93,1.03
987106,西布朗,新特蘭,2014-08-16 22:00,2-2,10,8,立博,2.3,3.3,2.9,40.16,27.99,31.85,92.37,2.2,3.4,3.5,43.94,28.43,27.62,96.67,0.97,0.99,0.95
987106,西布朗,新特蘭,2014-08-16 22:00,2-2,10,8,bet 365,2.3,3.5,2.87,40.67,26.73,32.6,93.54,2.1,3.5,3.75,46.3,27.78,25.93,97.23,0.92,1.02,1.01
987105,史篤城,阿士東維拉,2014-08-16 22:00,0-1,18,5,伟德,2.05,3.4,3.9,46.98,28.33,24.69,96.31,1.925,3.4,4.8,50.83,28.78,20.39,97.85,0.96,0.95,1.06
987105,史篤城,阿士東維拉,2014-08-16 22:00,0-1,18,5,威廉希尔,2.1,3.3,3.2,43.62,27.76,28.62,91.6,1.85,3.3,4.5,50.72,28.43,20.85,93.83,0.93,0.92,0.99
987105,史篤城,阿士東維拉,2014-08-16 22:00,0-1,18,5,立博,2.0,3.25,3.6,46.06,28.35,25.59,92.12,1.9,3.4,4.33,50.06,27.97,21.97,95.11,0.95,0.95,0.95
987105,史篤城,阿士東維拉,2014-08-16 22:00,0-1,18,5,bet 365,2.0,3.4,3.75,47.13,27.73,25.14,94.26,2,3.3,4.5,48.77,29.56,21.67,97.54,1.0,0.92,0.99
987100,李斯特城,愛華頓,2014-08-16 22:00,2-2,9,11,伟德,3.4,3.5,2.15,28.15,27.34,44.51,95.71,3,3.3,2.55,32.41,29.46,38.13,97.23,0.93,0.96,1.02
987100,李斯特城,愛華頓,2014-08-16 22:00,2-2,9,11,威廉希尔,3.2,3.3,2.1,28.62,27.76,43.62,91.58,3.1,3.1,2.4,30.38,30.38,39.24,94.18,0.96,0.9,0.96
987100,李斯特城,愛華頓,2014-08-16 22:00,2-2,9,11,立博,3.5,3.25,2.05,26.43,28.46,45.12,92.51,3.2,3.4,2.3,30.01,28.24,41.75,96.03,0.99,0.99,0.92
