比赛索引号,主场队伍,客场队伍,比赛时间,比分,主场排名,客场排名,公司名,初盘_赔率_主,初盘_赔率_和,初盘_赔率_客,初盘_胜率_主,初盘_胜率_和,初盘_胜率_客,初盘_返还率,即盘_赔率_主,即盘_赔率_和,即盘_赔率_客,即盘_胜率_主,即盘_胜率_和,即盘_胜率_客,即盘_返还率,凯利指数_主,凯利指数_和,凯利指数_客
710924,韋斯咸,阿士東維拉,2012-08-18 22:00,1-0,英冠3,16,bet 365,2.3,3.4,3.0,40.93,27.69,31.38,94.14,2.1,3.4,3.5,45.09,27.85,27.06,94.69,0.9,0.95,0.98
710924,韋斯咸,阿士東維拉,2012-08-18 22:00,1-0,英冠3,16,立博,2.2,3.25,2.75,40.37,27.33,32.3,88.81,2.1,3.3,3.4,44.37,28.23,27.4,93.18,0.9,0.92,0.95
710924,韋斯咸,阿士東維拉,2012-08-18 22:00,1-0,英冠3,16,威廉希尔,2.3,3.0,2.87,38.94,29.85,31.21,89.56,2.2,3.2,3.4,42.83,29.45,27.72,94.23,0.95,0.9,0.95
710924,韋斯咸,阿士東維拉,2012-08-18 22:00,1-0,英冠3,16,伟德,2.4,3.25,3.1,39.8,29.39,30.81,95.52,2.2,3.4,3.6,44.28,28.65,27.06,97.42,0.95,0.95,1.01
710923,西布朗,利物浦,2012-08-18 22:00,3-0,10,8,bet 365,3.75,3.4,2.0,25.14,27.73,47.13,94.27,4.5,3.6,1.8,21.05,26.32,52.63,94.72,1.04,0.97,0.9
710923,西布朗,利物浦,2012-08-18 22:00,3-0,10,8,立博,3.2,3.2,2.0,27.78,27.78,44.44,88.9,4.33,3.5,1.83,21.72,26.88,51.4,94.05,1.0,0.95,0.92
710923,西布朗,利物浦,2012-08-18 22:00,3-0,10,8,威廉希尔,3.5,3.2,1.91,25.47,27.86,46.67,89.14,4.2,3.3,1.91,22.36,28.46,49.18,93.91,0.97,0.89,0.96
710923,西布朗,利物浦,2012-08-18 22:00,3-0,10,8,伟德,3.6,3.3,2.1,26.28,28.67,45.05,94.61,4.6,3.6,1.85,20.99,26.82,52.19,96.55,1.06,0.97,0.93
710918,富咸,諾域治,2012-08-18 22:00,5-0,9,12,bet 365,1.83,3.5,4.33,51.4,26.88,21.72,94.06,1.8,3.6,4.5,52.63,26.32,21.05,94.73,0.94,0.97,0.95
710918,富咸,諾域治,2012-08-18 22:00,5-0,9,12,立博,1.72,3.2,4.33,51.69,27.78,20.53,88.91,1.8,3.5,4.5,52.24,26.87,20.9,94.03,0.94,0.95,0.95
710918,富咸,諾域治,2012-08-18 22:00,5-0,9,12,威廉希尔,1.8,3.3,3.8,49.53,27.01,23.46,89.15,1.85,3.3,4.5,50.72,28.43,20.85,93.83,0.96,0.89,0.95
710918,富咸,諾域治,2012-08-18 22:00,5-0,9,12,伟德,1.87,3.4,4.5,50.88,27.98,21.14,95.15,1.87,3.6,4.4,51.43,26.71,21.86,96.17,0.97,0.97,0.92
710922,雷丁,史篤城,2012-08-18 22:00,1-1,英冠1,14,bet 365,2.5,3.25,2.8,37.56,28.9,33.54,93.9,2.37,3.25,3.1,40.1,29.24,30.66,95.04,0.95,0.94,0.96
710922,雷丁,史篤城,2012-08-18 22:00,1-1,英冠1,14,立博,2.37,3.2,2.6,37.71,27.93,34.37,89.37,2.4,3.3,2.87,39.01,28.37,32.62,93.62,0.96,0.96,0.89
710922,雷丁,史篤城,2012-08-18 22:00,1-1,英冠1,14,威廉希尔,2.4,3.1,2.62,37.17,28.78,34.05,89.21,2.4,3.3,2.9,39.14,28.47,32.39,93.94,0.96,0.96,0.9
710922,雷丁,史篤城,2012-08-18 22:00,1-1,英冠1,14,伟德,2.5,3.4,2.8,38.05,27.98,33.97,95.12,2.5,3.2,3.25,39.21,30.63,30.16,98.02,1.0,0.93,1.01
710916,阿仙奴,新特蘭,2012-08-18 22:00,0-0,3,13,bet 365,1.33,5.0,9.0,70.73,18.81,10.45,94.07,1.44,4.2,8.5,66.13,22.67,11.2,95.23,0.96,0.88,0.94
710916,阿仙奴,新特蘭,2012-08-18 22:00,0-0,3,13,立博,1.36,4.33,6.5,65.65,20.62,13.74,89.28,1.44,4,8,64.94,23.38,11.69,93.51,0.96,0.84,0.88
710916,阿仙奴,新特蘭,2012-08-18 22:00,0-0,3,13,威廉希尔,1.28,4.5,8.0,69.23,19.69,11.08,88.61,1.44,4,8,64.94,23.38,11.69,93.51,0.96,0.84,0.88
710916,阿仙奴,新特蘭,2012-08-18 22:00,0-0,3,13,伟德,1.33,4.75,9.0,70.04,19.61,10.35,93.15,1.45,4.8,7.5,66.87,20.2,12.93,96.96,0.97,1.01,0.83
710921,昆士柏流浪,史雲斯,2012-08-18 22:00,0-5,17,11,bet 365,2.1,3.3,3.5,44.72,28.46,26.83,93.91,1.9,3.4,4.2,49.72,27.79,22.49,94.47,0.89,0.95,1.05
710921,昆士柏流浪,史雲斯,2012-08-18 22:00,0-5,17,11,立博,2.0,3.2,3.2,44.44,27.78,27.78,88.88,2,3.2,4,47.06,29.41,23.53,94.12,0.94,0.9,1.0
710921,昆士柏流浪,史雲斯,2012-08-18 22:00,0-5,17,11,威廉希尔,2.15,3.1,3.0,41.49,28.78,29.73,89.2,2,3.3,3.8,46.9,28.42,24.68,93.8,0.94,0.92,0.95
710921,昆士柏流浪,史雲斯,2012-08-18 22:00,0-5,17,11,伟德,2.3,3.12,3.4,41.43,30.54,28.03,95.29,2,3.4,4.4,48.95,28.8,22.25,97.9,0.94,0.95,1.1
710920,紐卡素,熱刺,2012-08-19 00:30,2-1,5,4,bet 365,2.5,3.4,2.7,37.58,27.63,34.79,93.95,2.75,3.25,2.62,34.53,29.22,36.25,94.96,0.99,0.94,0.92
710920,紐卡素,熱刺,2012-08-19 00:30,2-1,5,4,立博,2.4,3.3,2.5,37.21,27.06,35.72,89.3,2.6,3.3,2.7,36.35,28.64,35.01,94.51,0.94,0.96,0.95
710920,紐卡素,熱刺,2012-08-19 00:30,2-1,5,4,威廉希尔,2.4,3.1,2.6,37.07,28.7,34.22,88.97,2.7,3.1,2.7,34.83,30.34,34.83,94.04,0.97,0.9,0.95
710920,紐卡素,熱刺,2012-08-19 00:30,2-1,5,4,伟德,2.6,3.4,2.7,36.66,28.04,35.3,95.32,2.75,3.4,2.75,35.6,28.8,35.6,97.9,0.99,0.99,0.96
710925,韋根,車路士,2012-08-19 20:30,0-2,15,6,bet 365,7.5,4.2,1.44,12.51,22.34,65.15,93.83,4.5,3.6,1.8,21.05,26.32,52.63,94.72,0.77,0.9,1.04
710925,韋根,車路士,2012-08-19 20:30,0-2,15,6,立博,5.5,3.5,1.53,16.22,25.48,58.3,89.21,5,3.6,1.61,18.2,25.28,56.52,91,0.85,0.9,0.93
