比赛索引号,主场队伍,客场队伍,比赛时间,比分,主场排名,客场排名,公司名,初盘_赔率_主,初盘_赔率_和,初盘_赔率_客,初盘_胜率_主,初盘_胜率_和,初盘_胜率_客,初盘_返还率,即盘_赔率_主,即盘_赔率_和,即盘_赔率_客,即盘_胜率_主,即盘_胜率_和,即盘_胜率_客,即盘_返还率,凯利指数_主,凯利指数_和,凯利指数_客
1130197,曼聯,熱刺,2015-08-08 19:45,1-0,4,5,伟德,1.65,4.0,5.5,58.39,24.09,17.52,96.34,1.65,4,6,59.26,24.44,16.3,97.78,0.96,1.0,1.02
1130197,曼聯,熱刺,2015-08-08 19:45,1-0,4,5,威廉希尔,1.53,3.6,6.0,59.52,25.3,15.18,91.07,1.67,3.4,6,56.51,27.76,15.73,94.38,0.97,0.85,1.02
1130197,曼聯,熱刺,2015-08-08 19:45,1-0,4,5,立博,1.61,4.0,5.0,57.99,23.34,18.67,93.36,1.67,4,5.5,58.1,24.26,17.64,97.03,0.97,1.0,0.94
1130197,曼聯,熱刺,2015-08-08 19:45,1-0,4,5,bet 365,1.66,3.5,5.5,56.3,26.7,16.99,93.46,1.66,4,5.75,58.7,24.36,16.95,97.44,0.96,1.0,0.98
1130199,諾域治,水晶宮,2015-08-08 22:00,1-3,英冠3,10,伟德,2.625,3.4,2.75,36.68,28.32,35.01,96.29,2.5,3.4,3.1,39.34,28.93,31.73,98.35,0.95,0.99,1.02
1130199,諾域治,水晶宮,2015-08-08 22:00,1-3,英冠3,10,威廉希尔,2.5,3.2,2.6,36.46,28.48,35.06,91.15,2.62,3,2.87,35.89,31.34,32.76,94.03,1.0,0.87,0.95
1130199,諾域治,水晶宮,2015-08-08 22:00,1-3,英冠3,10,立博,2.4,3.4,2.8,39.02,27.54,33.44,93.64,2.63,3.2,2.9,36.65,30.12,33.23,96.39,1.0,0.93,0.96
1130199,諾域治,水晶宮,2015-08-08 22:00,1-3,英冠3,10,bet 365,2.62,3.3,2.62,35.79,28.42,35.79,93.77,2.5,3.4,3,38.93,28.63,32.44,97.33,0.95,0.99,0.99
1130195,愛華頓,屈福特,2015-08-08 22:00,2-2,11,英冠2,伟德,1.571,4.1,6.25,61.18,23.44,15.38,96.11,1.833,3.75,4.75,53.34,26.07,20.58,97.77,1.01,0.98,0.95
1130195,愛華頓,屈福特,2015-08-08 22:00,2-2,11,英冠2,威廉希尔,1.53,3.6,6.0,59.52,25.3,15.18,91.07,1.8,3.5,4.5,52.24,26.87,20.9,94.03,0.99,0.91,0.9
1130195,愛華頓,屈福特,2015-08-08 22:00,2-2,11,英冠2,立博,1.57,4.0,5.5,59.6,23.39,17.01,93.57,1.8,3.75,4.75,53.79,25.82,20.39,96.82,0.99,0.98,0.95
1130195,愛華頓,屈福特,2015-08-08 22:00,2-2,11,英冠2,bet 365,1.61,3.6,6.0,58.29,26.07,15.64,93.85,1.85,3.6,4.75,52.54,27,20.46,97.2,1.02,0.94,0.95
1130193,般尼茅夫,阿士東維拉,2015-08-08 22:00,0-1,英冠1,17,伟德,2.4,3.4,3.0,39.91,28.17,31.92,95.78,1.87,3.8,4.4,52.16,25.67,22.17,97.54,0.9,1.03,1.06
1130193,般尼茅夫,阿士東維拉,2015-08-08 22:00,0-1,英冠1,17,威廉希尔,2.0,3.3,3.4,45.57,27.62,26.81,91.15,1.8,3.6,4.4,52.38,26.19,21.43,94.28,0.86,0.97,1.06
1130193,般尼茅夫,阿士東維拉,2015-08-08 22:00,0-1,英冠1,17,立博,2.37,3.4,2.87,39.64,27.63,32.73,93.94,2,3.4,4,47.89,28.17,23.94,95.78,0.96,0.92,0.96
1130193,般尼茅夫,阿士東維拉,2015-08-08 22:00,0-1,英冠1,17,bet 365,2.37,3.4,2.87,39.64,27.63,32.73,93.94,1.83,3.9,4.5,53.31,25.01,21.68,97.56,0.88,1.05,1.08
1130196,李斯特城,新特蘭,2015-08-08 22:00,4-2,14,16,伟德,2.1,3.4,3.7,45.76,28.26,25.97,96.1,1.8,3.75,5,54.35,26.09,19.57,97.83,0.9,1.05,1.15
1130196,李斯特城,新特蘭,2015-08-08 22:00,4-2,14,16,威廉希尔,2.0,3.3,3.4,45.57,27.62,26.81,91.15,1.83,3.4,4.5,51.42,27.67,20.91,94.1,0.92,0.95,1.04
1130196,李斯特城,新特蘭,2015-08-08 22:00,4-2,14,16,立博,1.95,3.4,4.0,48.52,27.83,23.65,94.61,1.95,3.4,4.2,49.07,28.14,22.78,95.69,0.98,0.95,0.97
1130196,李斯特城,新特蘭,2015-08-08 22:00,4-2,14,16,bet 365,2.2,3.3,3.25,42.67,28.45,28.88,93.87,1.8,3.8,4.75,53.98,25.57,20.45,97.16,0.9,1.06,1.09
1130194,車路士,史雲斯,2015-08-09 00:30,2-2,1,8,伟德,1.286,5.5,13.0,75.03,17.54,7.42,96.49,1.4,4.75,10,69.7,20.54,9.76,97.58,0.98,0.95,1.0
1130194,車路士,史雲斯,2015-08-09 00:30,2-2,1,8,威廉希尔,1.25,5.0,11.0,73.33,18.33,8.33,91.67,1.33,5,9,70.73,18.81,10.45,94.07,0.93,1.0,0.9
1130194,車路士,史雲斯,2015-08-09 00:30,2-2,1,8,立博,1.25,5.5,13.0,75.56,17.17,7.27,94.45,1.4,4.5,10,68.91,21.44,9.65,96.47,0.98,0.9,1.0
1130194,車路士,史雲斯,2015-08-09 00:30,2-2,1,8,bet 365,1.3,5.5,9.0,72.42,17.12,10.46,94.15,1.36,5,11,71.65,19.49,8.86,97.44,0.95,1.0,1.1
1130192,阿仙奴,韋斯咸,2015-08-09 20:30,0-2,3,12,伟德,1.333,5.0,10.5,71.76,19.13,9.11,95.66,1.25,6.25,15,77.92,15.58,6.49,97.4,0.93,1.06,1.35
1130192,阿仙奴,韋斯咸,2015-08-09 20:30,0-2,3,12,威廉希尔,1.36,4.5,7.0,66.82,20.2,12.98,90.88,1.25,6,11,75.64,15.76,8.6,94.56,0.93,1.02,0.99
1130192,阿仙奴,韋斯咸,2015-08-09 20:30,0-2,3,12,立博,1.3,5.0,9.5,71.59,18.61,9.8,93.07,1.29,5.5,12,74.51,17.48,8.01,96.12,0.95,0.94,1.08
1130192,阿仙奴,韋斯咸,2015-08-09 20:30,0-2,3,12,bet 365,1.33,5.0,9.0,70.73,18.81,10.45,94.07,1.22,7,15,79.64,13.88,6.48,97.16,0.9,1.19,1.35
1130198,紐卡素,修咸頓,2015-08-09 20:30,2-2,15,7,伟德,2.9,3.4,2.45,32.93,28.09,38.98,95.5,2.9,3.25,2.7,33.71,30.08,36.21,97.76,0.96,0.98,1.0
1130198,紐卡素,修咸頓,2015-08-09 20:30,2-2,15,7,威廉希尔,3.1,3.4,2.1,29.52,26.91,43.57,91.5,2.9,3.1,2.5,32.31,30.22,37.47,93.7,0.96,0.93,0.93
1130198,紐卡素,修咸頓,2015-08-09 20:30,2-2,15,7,立博,2.8,3.25,2.5,33.54,28.9,37.56,93.91,2.88,3.3,2.6,33.55,29.28,37.17,96.62,0.95,0.99,0.96
1130198,紐卡素,修咸頓,2015-08-09 20:30,2-2,15,7,bet 365,2.62,3.3,2.62,35.79,28.42,35.79,93.77,3.1,3.25,2.55,31.55,30.09,38.36,97.8,1.02,0.98,0.94
1130200,史篤城,利物浦,2015-08-09 23:00,0-1,9,6,伟德,3.2,3.5,2.25,29.97,27.4,42.63,95.9,3.5,3.4,2.25,27.89,28.71,43.39,97.61,0.98,0.99,0.97
1130200,史篤城,利物浦,2015-08-09 23:00,0-1,9,6,威廉希尔,3.2,3.3,2.1,28.62,27.76,43.62,91.6,3.4,3.1,2.25,27.72,30.4,41.88,94.25,0.95,0.9,0.97
